"","GSM4978121","GSM4978122","GSM4978123","GSM4978124","GSM4978125","GSM4978126","GSM4978127","GSM4978128","GSM4978129","GSM4978130","GSM4978131","GSM4978132","GSM4978133","GSM4978134"
"ASCRP000001",5.90665267,5.864433173,6.005825243,5.86936791,6.446981053,6.147632162,6.070369809,6.063757857,5.972608132,6.347338402,6.007605259,5.987936648,5.905630804,6.153633604
"ASCRP000002",6.175454,6.234378519,6.714018258,7.144518808,6.115387456,6.21341036,6.250216739,6.011525444,6.370612304,6.236334602,7.048833057,6.176968244,6.31058464,6.193829579
"ASCRP000004",7.141894531,7.652332879,6.696695679,6.454642255,5.903433103,5.907119744,5.876958388,5.960740984,5.989967591,5.822149918,5.880588215,5.913980281,5.912014193,5.847902412
"ASCRP000006",6.450478969,6.958296435,6.411456309,6.07437763,6.895246265,6.531561334,6.518034789,7.621280446,6.918025586,6.529845912,6.55708631,6.307268264,6.487723034,7.212405872
"ASCRP000007",7.513388037,9.687149869,7.215722503,6.812167038,6.048753847,6.063401203,6.295546597,6.417970246,6.693812636,6.279776118,6.229404708,6.8139241,6.143100438,6.266751479
"ASCRP000010",8.842738428,8.535251906,9.635158228,8.16303785,8.256191052,8.831070786,7.679771737,9.328000162,8.034612698,7.827349188,7.804238003,6.86152143,6.675009911,6.259780334
"ASCRP000012",6.412655027,7.102857679,6.537745552,6.170844011,6.121926312,6.139212967,6.463625099,6.337215922,6.706196039,6.172422942,6.222942482,6.302953913,6.160431701,6.228282942
"ASCRP000013",6.233810162,6.166454629,6.163383034,6.036713891,5.95640947,6.001483504,6.245315807,6.265440685,6.795867243,6.087648812,6.155510123,6.138715845,6.038592015,6.137640493
"ASCRP000017",13.43868717,11.67561129,10.57796258,8.432196811,14.93953075,13.80543155,13.95043311,14.57488647,12.61388017,13.19726236,11.55075635,14.28481041,14.14213054,15.78670404
"ASCRP000018",11.72345302,9.114038947,8.6872731,6.861545644,13.17950405,12.61838408,13.82251132,13.63245621,14.15214203,12.17460769,10.26081843,13.45627233,14.12206631,12.98167767
"ASCRP000019",6.740810161,8.232179763,6.943724555,7.325716913,6.030154144,5.973026718,5.965557012,5.936538151,5.981522972,5.958761068,6.377638983,5.963499977,5.894473335,5.969666712
"ASCRP000024",6.485319183,6.507590081,6.502149265,6.053836467,6.253609337,6.481269698,6.601685203,6.24703479,6.377764864,6.356454372,6.097783172,6.420685071,6.877519262,6.425467435
"ASCRP000026",7.080893019,8.024845513,7.228998608,6.527157989,6.608771604,6.513830916,7.54727884,7.15134358,8.200950101,6.739402994,7.087294641,7.078713419,6.510428523,6.58973859
"ASCRP000027",10.5934668,12.2328689,9.712500122,7.859376828,11.05883685,11.55056836,12.30493223,12.52980534,12.56655793,12.95955582,13.22797102,12.90698076,11.36442016,12.38922891
"ASCRP000028",7.589802855,7.190448314,8.058124334,7.882831412,7.239724664,7.173617525,7.25585536,7.000850851,7.644018427,7.421171701,8.90568233,6.928560491,7.274464309,7.089250461
"ASCRP000029",6.097222254,6.2340507,6.090359667,6.11982152,6.003450889,6.039734928,6.151530667,6.395688264,6.193845687,6.085710422,6.016526629,6.087265478,6.110061523,6.09094339
"ASCRP000031",7.494066208,7.955222602,7.819348336,7.638501584,6.411767838,6.445065611,6.793785309,6.613269579,7.01489939,6.619897018,7.14649333,6.54561405,6.709525211,6.467133022
"ASCRP000039",6.795310077,7.353787458,6.650455418,5.899219384,6.205172974,6.76692568,7.241045562,6.984287391,7.323308792,6.965150747,6.888367541,7.01568941,6.878577368,6.976133613
"ASCRP000040",6.083890676,5.977121619,5.941560101,5.829783028,6.077012231,6.114610644,6.03923315,6.245410645,6.371106852,6.194909298,6.043953088,6.149096563,6.217506551,6.233575188
"ASCRP000043",7.853216289,7.90250075,8.647556402,8.72283871,7.171462725,6.954246624,7.192487497,6.604088777,7.001721812,6.843204365,7.850648276,6.724548431,6.911027754,6.703350414
"ASCRP000044",6.545372287,7.259922432,7.078215373,6.343025224,6.412806241,6.481506741,7.068441751,6.863080705,7.702912326,6.427278197,6.886498376,6.967473241,6.426514998,6.51601571
"ASCRP000047",5.914542826,5.914832789,5.997501688,5.979676262,5.925468873,6.231668964,6.251510233,6.092950909,6.146917872,6.099906008,5.996850947,6.163523059,5.966993752,6.024416221
"ASCRP000048",6.049397262,6.453788182,6.427499132,6.671524559,6.223555127,6.204130341,6.21578604,6.003076326,6.284071359,6.139606008,6.512260399,6.190827858,6.178622369,6.30379124
"ASCRP000049",6.605802905,6.788721379,7.019530325,6.465031696,6.422926589,6.464398562,7.222621932,6.885800349,7.247118813,6.60421298,6.797301033,6.947630033,6.513901456,6.407968446
"ASCRP000051",8.71594948,6.664492754,6.878968761,7.47545605,6.54617408,8.974648661,7.248917229,11.79878947,8.085174813,6.228971621,8.246508468,5.983052927,6.751522465,7.118829743
"ASCRP000053",6.335328715,6.536946884,6.651322247,6.974610488,6.035962082,6.042513103,6.4248742,6.212872327,6.478489932,6.199383462,6.492327255,6.281620035,6.40140453,6.045229113
"ASCRP000054",11.0293969,10.10842051,10.90660535,9.315602329,11.55046853,9.523888677,12.29437838,11.38000542,12.04944891,12.07115482,10.79308601,11.73212598,11.82032199,10.50807654
"ASCRP000055",8.046814185,6.867871382,6.451203048,6.155670448,8.973561714,8.92156409,8.387275341,9.877753179,9.517591147,9.811215933,7.716682176,7.308719582,7.618431485,8.24552801
"ASCRP000056",6.23056432,6.77014978,6.724643175,6.666244373,6.212907945,6.404969929,6.346637091,6.555627669,6.302882984,6.279409783,6.665506658,6.211519637,6.265797707,6.195435811
"ASCRP000057",6.051422937,6.138760855,6.158801954,6.237036128,5.971796648,5.995563367,6.100540433,5.998582777,6.165683049,6.039591131,6.040171977,6.061581453,6.129251024,5.935440022
"ASCRP000058",6.476648049,6.710916643,6.890532463,7.202473371,6.047823236,6.068649841,6.214378163,6.069321073,6.305767878,6.111605963,6.213634767,6.135466882,6.117768582,6.018043442
"ASCRP000062",10.42826087,7.519732587,6.526918497,5.954184588,10.87222918,10.80633419,7.906832232,12.46512739,7.107484428,10.24952343,8.864166926,8.406917879,9.124038954,10.99073301
"ASCRP000063",6.180297052,6.273739735,6.286963468,6.412339051,6.101999563,6.117363695,6.216075628,6.030861899,6.230824808,6.137521064,6.636880859,6.208814686,6.182135772,6.106323657
"ASCRP000064",8.463320119,8.925966111,10.40022795,9.625219235,6.048665891,6.087734533,6.13074057,6.007361092,5.960453337,6.062291857,6.11967719,6.001284285,5.9343044,5.966308929
"ASCRP000065",7.07577895,7.357159593,6.923869235,5.97948521,6.666433176,8.20642087,9.062212994,8.61106323,7.823800162,7.353190303,7.188100048,7.884640418,7.166002333,8.110736352
"ASCRP000069",6.215245599,6.489790388,6.348768541,6.115069496,6.132088745,6.109088232,6.48659925,6.390139918,6.572116388,6.15337055,6.3130225,6.244163418,6.145730164,6.326622864
"ASCRP000070",6.812922976,7.114125532,7.153842582,5.902167458,6.328456069,6.347737318,7.028916598,6.310532898,6.246789863,6.140144351,5.897033346,6.307602039,6.051779598,6.334354508
"ASCRP000071",12.43791175,10.14976966,9.866687882,7.976588461,13.66757792,13.00568001,13.57624082,13.17171209,13.60979155,12.40056358,10.63396221,13.07360712,13.80608319,13.48534662
"ASCRP000074",6.024905912,6.247901541,6.20871569,6.217693512,6.030665699,6.024733167,6.296175782,6.121021011,6.233092284,6.098057306,6.058365767,6.162614956,5.971233334,5.931541057
"ASCRP000075",9.979636837,9.379274936,10.15336169,8.992298682,10.65526425,10.67294333,10.41806974,9.471933666,10.83417567,10.83002661,10.47045688,9.441110819,9.999839941,9.657321134
"ASCRP000078",6.167062153,6.2899602,6.125934022,6.016141273,5.987704908,6.045502054,6.254961909,6.304014912,6.485426777,6.147453588,6.240779063,6.108177873,6.083425005,6.043408338
"ASCRP000080",6.044334951,6.074553512,6.008870096,5.967092834,6.280059563,6.251315936,6.261189517,6.155028789,6.238703548,6.188366982,6.147699476,6.266524855,6.089484229,6.081957611
"ASCRP000082",6.155236658,6.408469922,6.619402592,6.35172246,6.205694252,6.238218788,6.635162396,6.493773927,7.114094178,6.241760829,6.62009378,6.718975943,6.376749661,6.072735949
"ASCRP000083",7.180720066,6.967901026,7.076660668,7.132847876,7.32197539,7.185132231,7.874213268,7.502501612,8.20117374,7.763824792,8.070487457,7.653980693,7.016937924,6.853598541
"ASCRP000084",6.184312969,6.541903275,6.149977709,6.035214889,5.945364104,5.966711639,6.10924562,5.998070856,6.195809577,6.025216991,6.044072609,6.012121793,6.015029259,6.167044579
"ASCRP000085",13.75575096,14.54705269,15.55033751,15.74105322,11.34326422,11.35140645,11.96478106,10.8373388,10.90415494,11.37208098,11.66102491,10.17116251,10.20988383,11.34663951
"ASCRP000086",6.269280345,6.220053639,6.641068202,7.559883876,6.101752306,6.13351111,6.00250754,5.894311994,5.9638765,6.057937166,6.857927594,5.929314873,5.960136891,6.285742389
"ASCRP000087",6.309508008,6.615273027,6.258665147,6.241676383,5.998652507,5.984378298,6.074447933,6.15860682,6.202364985,6.055968233,6.249376779,6.103663295,6.030227659,6.252999341
"ASCRP000088",7.100513254,7.706843909,6.964395794,6.409644249,6.047248936,6.033288691,6.234861581,6.275238132,6.49245263,6.210007405,7.86458424,6.087265478,5.954786989,6.168631973
"ASCRP000089",8.142807755,7.952736239,8.312999064,8.074830811,7.518825435,7.624642287,7.627241282,6.934639966,7.82800732,7.57733195,8.79782002,7.18243549,7.736605279,7.458600583
"ASCRP000090",6.381985667,6.237818105,6.244605302,6.214728936,6.288784258,6.475476635,6.120819789,6.212770918,6.429772752,6.102956549,6.068756617,6.545452383,6.523225068,6.55890517
"ASCRP000091",6.662008153,6.890586719,7.189153914,7.171701338,6.189550134,6.258008092,6.296991834,6.073922655,6.333813867,6.281647373,7.310531305,6.165998827,6.290440112,6.243652758
"ASCRP000094",6.695798468,6.923516098,7.098835933,7.870083905,6.080636832,6.063109592,6.12502859,5.974624528,6.003262022,6.054367881,6.295275643,5.995861371,6.03980694,5.987784749
"ASCRP000096",11.64841716,11.46821563,12.54660812,12.1239524,7.520228583,7.754206513,7.312543242,6.494153395,7.296037605,7.241553782,9.915187257,7.006266626,7.387484864,8.090127155
"ASCRP000097",7.914234724,8.057564783,8.038089182,7.188524504,6.437039282,6.501030698,6.988733722,6.713008213,7.14011279,6.646395168,6.717315848,6.67189311,6.602008519,6.584439895
"ASCRP000098",7.322901448,8.223575766,10.0642309,7.965442369,6.252269659,6.20350268,6.561841365,6.363595215,6.397802661,6.429979535,6.568210262,6.313398161,6.28140283,6.464785124
"ASCRP000099",8.563230661,8.941910836,8.342880194,5.947349882,7.2823098,8.459645572,7.655782962,8.906755639,7.05318289,7.369753782,7.254825923,5.904901399,6.086582934,6.267637072
"ASCRP000104",7.791139276,8.582906154,8.425331257,8.137401507,8.442802938,8.076536847,7.826929579,8.527703529,8.157956848,8.647386436,8.078137415,8.597191548,8.116945166,8.201176351
"ASCRP000105",6.140322653,6.342709116,6.50479392,6.540480987,5.949714238,5.981804684,6.033649802,5.902880593,6.010412013,6.045879774,6.090599036,5.997105963,6.033150999,6.026811322
"ASCRP000110",6.099293477,6.149363424,6.250966211,6.971746292,6.089403807,6.157129713,6.189560594,5.983607054,6.179662392,6.054482553,6.335345723,6.089796996,6.02043353,6.027472012
"ASCRP000111",7.068373107,6.432209637,6.75191733,6.825607043,7.699356846,7.873344509,6.554212623,7.037422982,6.508060822,7.212035168,7.942921992,6.623497365,6.607150173,6.992422516
"ASCRP000113",12.00331442,10.80115532,11.68062439,9.229031613,12.58368635,12.6285738,13.26447363,13.48424694,13.57254539,13.45047779,11.6613043,13.80543155,13.20414604,11.79226786
"ASCRP000115",6.027253508,6.158544629,6.448344543,6.524451861,5.997437262,5.915063906,6.13076172,5.95039297,6.319240661,6.05969627,6.092817334,6.064157982,6.115529712,6.05413584
"ASCRP000116",6.741515741,8.913670742,7.333046779,6.951054097,6.105379841,6.175887537,6.235548524,6.199839315,6.311404242,6.249041836,6.282465545,6.19859507,6.064609151,6.287357017
"ASCRP000118",6.236517205,5.908847484,5.92877831,5.860677555,6.34863668,6.975857688,5.918531408,6.325678583,6.383753821,6.454478535,6.132732605,6.610393435,6.117884358,6.63935311
"ASCRP000121",13.10094079,12.96192853,13.05126444,14.12206631,12.96266836,13.19619008,11.38000724,11.121217,11.34309457,12.61280491,13.37565898,10.85784546,11.45966489,13.11632122
"ASCRP000122",6.99147072,7.514630182,7.537058281,7.123873122,7.560477185,7.708225526,8.250637386,7.333128209,8.070629075,7.797440498,8.721989368,7.796874142,8.071436469,7.507224292
"ASCRP000124",6.240497116,6.172630685,6.10924878,6.361546416,5.985519233,6.051398762,6.034695448,6.055404064,6.004563401,6.074473021,5.957110765,6.062517509,6.364329444,6.115184999
"ASCRP000131",6.042723795,6.314163803,6.377136543,5.957023026,6.175006809,6.228825612,7.243834678,6.582070815,7.263742691,6.737522302,6.76048523,6.691509207,6.768314967,6.047627649
"ASCRP000132",6.030456415,5.797057536,5.892982569,5.896639599,6.212675262,6.167021717,5.84202302,6.059629622,5.897647548,6.03367867,5.943116305,5.93388255,5.862996342,6.098817492
"ASCRP000139",5.949282533,6.032136871,6.09481911,6.104978784,5.943076295,5.939266392,6.200628261,5.984176528,6.296458176,5.970574693,6.064009702,6.075793701,6.05503033,6.021613388
"ASCRP000140",6.872536823,9.863008496,6.678299231,6.30907819,5.914840539,5.938489585,5.977080846,6.197221255,5.891752048,5.979981126,5.946347941,5.985608912,5.846007102,6.209876
"ASCRP000142",6.187577917,6.323262888,6.498130549,6.31713894,6.27315759,6.308173133,6.783314203,6.449330966,6.97712519,6.501853107,6.765544931,6.604861582,6.689811377,6.208361256
"ASCRP000143",8.555261501,8.963460119,9.70124879,9.66296879,9.242120189,9.08647415,10.01161752,9.257384422,10.85560219,9.42886651,10.09500525,9.469649676,10.67021836,8.95502678
"ASCRP000144",7.825766952,10.90740894,7.962726571,6.585212187,6.053575991,6.127310957,6.084149214,6.297924716,5.931333198,6.106994055,6.346435063,6.09168566,5.965086421,6.333169658
"ASCRP000147",6.711742477,6.889499956,6.748190174,6.237874503,6.661164747,6.575962724,7.890821244,7.340958908,8.698294135,7.343645081,7.286632526,7.375608726,7.285090255,6.462872247
"ASCRP000148",6.009795235,6.172822633,6.316824226,6.39875346,5.950822931,5.976476941,6.195426666,6.036057882,6.054218689,6.011636285,5.961274205,6.062220555,5.942195868,5.92977946
"ASCRP000150",8.905880496,12.57441689,8.58594757,6.764201467,6.740494774,6.786317692,7.381343714,7.645375624,7.415269059,7.090399175,7.194016788,7.121068618,6.707886379,7.239294992
"ASCRP000151",6.280533698,6.660239547,6.476684835,6.241563364,6.041230515,6.03931965,6.416378229,6.188121328,6.414864407,6.15337055,6.402153789,6.187253947,6.15066614,6.302847886
"ASCRP000152",6.096127944,6.226962101,6.12429054,6.140501263,5.927990142,5.938088141,6.105228708,5.978462637,7.04741209,6.074565378,5.995915562,5.965674562,5.967535976,5.954048799
"ASCRP000154",6.204584606,5.943391194,5.93272981,5.856204086,6.175506915,6.354672829,5.913805413,6.269246002,5.88426838,5.991835372,5.894351259,5.905734177,6.294400275,6.154998015
"ASCRP000155",6.056234552,6.336939057,6.277117371,6.134152829,6.219931467,6.173143825,7.160495106,6.41192387,7.383553502,6.677874034,6.396480593,6.704838473,6.728192712,6.163275873
"ASCRP000156",6.53590168,6.207272759,6.129144071,6.132679935,7.01432253,6.536711345,6.540232897,7.078351366,6.792861665,6.741198632,6.63087866,6.796624651,6.791631883,6.558540099
