Genes,GSM458594,GSM458595,GSM458598,GSM458599
10338001,11.71150504,11.6649732,11.56184388,11.91622762
10338002,6.273491332,6.438454077,6.49010158,6.444351316
10338003,10.31323037,10.36871109,10.22610827,10.67998187
10338004,9.232859751,9.265787374,9.294233243,9.510278492
10338005,1.885374449,2.09539317,2.058987659,2.101411886
10338006,2.083695995,2.320068869,2.329737248,2.308737181
10338007,2.33346446,2.653304872,2.629252378,2.612463273
10338008,3.131918818,3.479017326,3.535822537,3.434221791
10338009,8.89733135,8.88935009,8.854128745,9.005041369
10338010,1.925351247,2.16890444,2.11469424,2.157230531
10338011,5.59717036,5.736224989,5.796904589,5.768273342
10338012,1.993133718,2.238134222,2.202521474,2.246222548
10338013,1.795418725,1.991192434,1.91242393,2.000359312
10338014,1.831405818,2.04046273,2.002020581,2.027928494
10338015,1.819073178,2.071225841,1.976407864,2.041294849
10338016,7.857207757,7.887658117,7.924112506,8.026216812
10338017,12.79156557,12.6351854,12.70008561,12.90531545
10338018,6.905974049,7.013417833,7.014519673,7.060854875
10338019,4.836411361,5.124851552,5.158971761,5.127611395
10338020,8.731736987,8.712430972,8.688380247,8.88422753
10338021,2.204574861,2.492333985,2.41903151,2.450982347
10338022,2.053191474,2.281086515,2.301469214,2.315180608
10338023,2.61886445,3.011772054,3.006523116,2.955942468
10338024,7.366805342,7.45252237,7.421439608,7.4881371
10338025,8.905109084,9.089011745,9.090742457,9.377641899
10338026,13.13780699,12.97544576,13.08503092,13.13980315
10338027,7.477258052,7.537046128,7.611922468,7.606901441
10338028,4.045548717,4.399329778,4.345292072,4.356084891
10338029,9.595781742,9.698902475,9.601773884,9.943104757
10338030,1.858498021,2.053834677,2.008357669,2.116008222
10338031,1.811895141,1.979957509,1.946664485,1.990238981
10338032,1.874423501,2.081615082,2.026573159,2.062171452
10338033,6.89817073,6.994209375,7.030875142,7.015180313
10338034,2.718751805,3.036958828,3.018158685,2.985198685
10338035,8.852891004,8.99023298,8.882827196,9.261688612
10338036,9.719397767,9.839141695,9.679097524,10.05288818
10338037,4.174372289,4.48726866,4.312736272,4.405405141
10338038,1.801651401,2.04657943,1.9474497,1.970451166
10338039,8.821577938,8.798690703,8.755596944,8.977678524
10338040,3.889317736,4.241284298,4.211641645,4.207191566
10338041,10.88299419,10.74540845,10.71517993,11.11859422
10338042,10.38635595,10.40236432,10.2845625,10.69700074
10338043,1.807191962,2.008293107,1.929810828,1.994855747
10338044,11.97722243,11.78171132,11.76458263,12.04729959
10338045,8.438647486,8.569217045,8.602041878,8.640328787
10338046,3.267583109,3.575744842,3.591825031,3.507416349
10338047,6.421327934,7.012259741,6.684755044,6.80482661
10338048,2.39848855,2.611480841,2.668239145,2.637291089
