Genes,1_WT_O_RNA_A,2_1132_O_RNA_A,3_WT_O_RNA_B,4_1132_O_RNA_B
upp1,7768.34357,10865.39646,6475.986379,7967.159389
upp,4302.980852,5600.815871,3552.997959,3342.70001
aadA1,830.7443635,1050.20591,928.4912158,1237.305286
aadB,202179.2181,168705.4161,207566.29,288136.5425
aat,2329.226513,2203.73853,1652.309282,2389.406915
ABC_transporter,230.7623232,143.9798424,191.8810779,266.7244929
abeM,2353.775697,1749.778556,2436.889689,1826.321875
ABUW_0005,4303.96282,4225.384905,3727.822941,5056.651844
ABUW_0006,1001.606679,937.5628563,782.4483954,821.1656841
ABUW_0007,2154.436328,2423.096054,1956.120988,1306.456081
ABUW_0008,421.2639858,462.4293763,456.250563,461.8285201
ABUW_0009,10139.79468,13185.16581,12546.89048,8172.142102
ABUW_0011,1845.116618,1749.778556,1244.028988,2386.937244
ABUW_0012,46.15246464,56.74499672,44.77225151,83.96882184
ABUW_0015,2.945901998,2.540820749,1.066005988,17.28769861
ABUW_0016,1.963934666,2.540820749,7.462041918,2.46967123
ABUW_0017,4.909836664,1.693880499,0,3.704506846
ABUW_0018,9.819673328,5.081641498,5.330029941,24.6967123
ABUW_0019,0,1.693880499,0,0
ABUW_0020,1016.336189,979.9098688,932.7552397,1033.55741
ABUW_0021,1814.675631,2305.371359,2247.140623,1836.20056
ABUW_0022,21875.28627,23472.10208,25047.94271,30789.39123
ABUW_0023,449.7410384,417.5415431,640.6695989,860.6804238
ABUW_0027,3214.961048,2902.464235,3502.895677,2974.718997
ABUW_0028,258.2574085,279.4902824,330.4618564,297.5953833
ABUW_0029,358.4180765,315.0617729,360.310024,375.390027
ABUW_0030,850.3837102,1212.818437,734.4781259,629.7661638
ABUW_0032,43.20656264,26.25514774,34.11219162,22.22704107
ABUW_0033,927.9591295,751.2360014,659.8577067,821.1656841
ABUW_0034,21437.32884,21340.35347,16458.06645,18043.41801
ABUW_0035,37376.62259,40948.71413,31278.74771,45628.41082
ABUW_0036,1640.867413,2004.707571,1185.398659,1563.301889
ABUW_0038,58.91803997,69.44910047,57.56432337,72.8553013
ABUW_0040,1036.957503,831.6953251,1113.976258,923.6570402
ABUW_0041,405.5525084,430.2456468,424.2703833,454.4195064
ABUW_0043,744.3312383,630.1235457,644.9336229,503.812931
ABUW_0044,71.68361529,54.20417598,56.49831738,74.09013691
ABUW_0045,562.6672817,409.9190808,586.3032935,650.7583692
ABUW_0046,1981.610078,1660.002889,1869.774503,1712.716998
ABUW_0048,284.7705265,302.3576691,271.831527,219.8007395
ABUW_0049,924.0312602,824.9198031,743.0061738,642.1145199
ABUW_0051,5250.579328,5139.233435,5901.409151,4005.806736
ABUW_0052,13063.11143,12294.18466,14126.71136,9808.299292
ABUW_0053,13677.82298,8304.249148,16178.77288,16469.0026
ABUW_0054,990.8050388,1117.114189,938.0852697,1229.896273
ABUW_0055,11891.6244,5352.662378,14555.24576,11905.05017
ABUW_0056,5966.433514,4094.109167,6128.468426,5487.609474
ABUW_0057,746.2951729,469.2048983,1026.563767,1118.761067
